Kód;Územná jednotka;bez ukončeného vzdelania – osoby vo veku 0-14 rokov (abs.);základné vzdelanie (abs.);stredné odborné (učňovské) vzdelanie (bez maturity) (abs.);úplné stredné vzdelanie (s maturitou) (abs.);vyššie odborné vzdelanie (abs.);vysokoškolské vzdelanie (abs.);bez školského vzdelania – osoby vo veku 15 rokov a viac (abs.);nezistené (abs.)
SK0321557277;Kyncelova;37;38;67;113;19;114;0;3
SK0321557285;Nemce;100;125;203;370;58;254;2;30
SK0321557293;Vlkanova;133;225;277;344;55;211;2;46
SK0321580236;Hronsek;56;93;105;219;30;141;2;8
SK0321580244;Malachov;114;140;213;317;63;246;2;22
SK0322516597;Svaty Anton;152;210;252;329;67;144;2;66
SK0322516601;Badan;10;36;56;28;9;21;2;5
SK0322516627;Banska Bela;99;221;279;322;58;142;4;46
SK0322516643;Banska Stiavnica;929;1496;1866;2793;447;1860;21;216
SK0322516651;Bansky Studenec;54;93;124;107;30;49;0;6
SK0322516678;Beluj;10;34;31;41;3;16;0;2
SK0322516716;Dekys;21;33;60;49;7;22;0;1
SK0322516856;Ilija;45;65;74;92;17;45;0;12
SK0322516953;Kozelnik;11;32;52;42;9;11;2;2
SK0322517071;Mociar;11;55;34;38;12;8;1;4
SK0322517143;Podhorie (Okres Banska Stiavnica);32;44;86;98;16;50;1;2
SK0322517160;Pocuvadlo;3;20;23;26;0;11;0;3
SK0322517178;Prencov;65;136;179;146;20;69;3;19
SK0322517283;Stiavnicke Bane;94;99;207;242;33;94;3;41
SK0322517372;Vysoka (Okres Banska Stiavnica);17;22;43;29;3;12;0;3
SK0323508446;Bacuch;52;157;248;253;46;126;1;14
SK0323508462;Benus;125;156;274;334;58;179;0;26
SK0323508489;Bravacovo;56;115;208;187;29;75;2;8
SK0323508497;Brezno;2117;3572;3600;5427;1057;3493;34;761
SK0323508527;Cierny Balog;564;1185;1265;1170;192;528;13;145
SK0323508535;Dolna Lehota;43;135;205;183;30;70;1;14
SK0323508578;Drabsko;16;45;40;30;5;21;13;6
SK0323508608;Helpa;183;580;600;631;121;274;9;73
SK0323508624;Horna Lehota (Okres Brezno);51;99;125;180;37;71;3;32
SK0323508667;Hronec;116;202;287;318;43;142;2;36
SK0323508691;Jaraba;3;6;5;12;2;10;0;1
SK0323508705;Jasenie;108;162;283;354;77;139;4;11
SK0323508730;Lom nad Rimavicou;13;48;70;60;11;24;0;2
SK0323508772;Michalova;138;161;308;406;60;174;3;41
SK0323508811;Myto pod Dumbierom;41;55;112;158;33;120;0;6
SK0323508829;Nemecka;154;293;393;542;70;221;2;55
SK0323508845;Osrblie;33;42;136;86;20;31;1;8
SK0323508853;Podbrezova;311;537;771;1086;201;476;13;227
SK0323508870;Pohorela;169;532;405;538;80;277;84;56
SK0323508888;Pohronska Polhora;220;347;366;417;59;200;9;82
SK0323508900;Polomka;401;621;627;713;109;393;12;66
SK0323508934;Predajna;118;162;267;429;67;195;3;60
SK0323508951;Raztoka;27;53;62;91;7;38;0;1
SK0323508993;Sihla;22;30;57;49;8;27;1;3
SK0323509043;Sumiac;187;520;194;231;41;93;13;56
SK0323509051;Telgart;229;678;200;173;30;105;9;75
SK0323509086;Valaska;294;568;756;974;159;426;15;250
SK0323509094;Valkovna;79;214;55;30;8;14;1;17
SK0323509124;Zavadka nad Hronom;265;536;465;487;79;237;5;100
SK0323557251;Bystra (Okres Brezno);7;16;20;52;18;45;0;6
SK0324511510;Latky;72;110;130;139;13;90;2;8
SK0324511731;Podkrivan;42;131;166;152;17;57;0;4
SK0324518263;Detva;1356;2318;2969;3975;594;2055;35;653
SK0324518271;Detvianska Huta;62;133;169;187;28;69;2;11
SK0324518379;Dubravy;85;174;271;273;36;94;3;17
SK0324518450;Horny Tisovnik;11;48;48;46;6;8;1;2
SK0324518468;Hrinova;679;1307;1850;1924;295;852;18;257
SK0324518492;Klokoc;48;97;126;133;21;46;1;9
SK0324518549;Krivan;180;253;403;555;80;252;4;25
SK0324518794;Slatinske Lazy;68;79;133;131;27;89;0;10
SK0324518816;Stara Huta;37;58;88;79;13;42;0;5
SK0324518824;Stozok;150;149;215;333;59;155;2;11
SK0324518921;Viglas;158;263;383;436;55;203;4;44
SK0324518930;Viglasska Huta-Kalinka;22;47;88;97;18;41;0;7
SK0324580520;Korytarky;102;176;246;243;38;119;0;24
SK0325518212;Bzovik;151;245;251;295;53;125;1;8
SK0325518239;Cerovo;67;153;155;112;20;50;0;15
SK0325518247;Cabradsky Vrbovok;27;59;87;40;8;10;1;3
SK0325518255;Cekovce;93;97;131;75;13;23;0;18
SK0325518280;Devicie;26;43;92;85;14;42;1;2
SK0325518301;Dolne Mladonice;18;15;28;39;4;22;0;0
SK0325518310;Dolny Badin;21;48;60;73;14;33;0;1
SK0325518336;Domaniky;23;68;50;46;14;11;0;1
SK0325518344;Drazovce;10;28;39;20;7;10;2;3
SK0325518352;Drienovo;6;27;32;30;5;6;1;0
SK0325518387;Dudince;102;145;286;429;92;280;4;42
SK0325518409;Hontianske Moravce;77;130;208;179;41;101;0;45
SK0325518417;Hontianske Nemce;124;263;339;409;64;169;2;54
SK0325518425;Hontianske Tesare;118;274;194;173;28;67;5;30
SK0325518433;Horne Mladonice;25;55;52;32;7;11;1;3
SK0325518441;Horny Badin;24;33;34;60;1;18;1;6
SK0325518484;Jalsovik;22;32;45;65;4;20;0;0
SK0325518514;Kozi Vrbovok;17;32;52;37;5;7;0;6
SK0325518531;Kralovce-Krnisov;11;33;41;41;2;13;1;2
SK0325518557;Krupina;810;1164;1607;2190;418;1165;14;208
SK0325518565;Lackov;12;19;27;27;3;7;0;0
SK0325518573;Ladzany;21;56;76;73;12;17;1;2
SK0325518603;Lisov;30;79;61;26;3;6;1;11
SK0325518611;Litava;108;301;167;109;25;37;0;7
SK0325518646;Medovarce;20;85;47;46;7;5;0;3
SK0325518701;Rykyncice;15;42;99;70;14;15;2;8
SK0325518735;Sebechleby;121;240;283;317;41;138;2;33
SK0325518743;Selce (Okres Krupina);6;13;40;22;5;7;0;0
SK0325518751;Senohrad;64;125;192;211;34;76;1;25
SK0325518832;Sudince;19;37;19;3;0;2;2;3
SK0325518841;Sudovce;29;80;63;22;2;8;1;4
SK0325518867;Terany;75;138;164;119;19;40;4;24
SK0325518883;Trpin;9;25;23;34;5;7;0;4
SK0325518905;Unatin;19;26;50;52;8;20;0;2
SK0325518956;Zemiansky Vrbovok;6;20;25;20;0;5;0;2
SK0325518999;Zibritov;4;16;19;19;4;7;0;4
SK0326511218;Lucenec;2542;3638;4270;7236;1395;4816;191;1814
SK0326511226;Abelova;44;76;35;30;7;9;2;16
SK0326511234;Belina;73;218;136;81;20;30;2;57
SK0326511251;Bolkovce;68;129;164;156;36;69;1;13
SK0326511277;Budina;14;42;71;47;11;16;0;6
SK0326511293;Buzitka;44;79;136;136;33;42;1;7
SK0326511323;Cakanovce (Okres Lucenec);178;557;158;129;35;40;2;27
SK0326511331;Camovce;94;219;113;82;17;20;0;36
SK0326511358;Divin;259;449;451;524;99;221;3;24
SK0326511366;Dobroc;57;90;170;173;22;71;1;12
SK0326511374;Kotmanova;22;71;71;81;8;19;0;7
SK0326511391;Filakovo;1047;2873;1782;2229;517;906;35;560
SK0326511404;Filakovske Kovace;132;274;235;181;32;38;1;16
SK0326511421;Halic;176;267;344;457;83;244;8;83
SK0326511439;Holisa;79;255;160;113;24;29;0;10
SK0326511463;Jelsovec;38;128;57;40;9;5;2;52
SK0326511480;Kalonda;14;41;60;45;12;14;1;11
SK0326511528;Lehotka;47;99;96;73;10;17;0;13
SK0326511536;Lentvora;10;51;9;8;3;0;0;1
SK0326511544;Lipovany;24;53;78;46;12;24;1;8
SK0326511552;Lovinobana;226;530;386;469;77;198;2;47
SK0326511561;Luborec;42;125;79;61;16;15;2;8
SK0326511579;Lupoc;18;48;43;51;15;23;1;7
SK0326511609;Maskova;44;81;76;81;11;28;0;4
SK0326511625;Mucin;117;280;169;115;19;36;6;21
SK0326511641;Mytna;112;172;313;357;52;124;2;33
SK0326511668;Nitra nad Iplom;70;188;64;31;7;2;5;14
SK0326511676;Nove Hony;19;44;41;45;6;16;2;6
SK0326511692;Panicke Dravce;81;169;167;195;45;61;1;24
SK0326511706;Pila (Okres Lucenec);18;53;73;76;10;16;0;2
SK0326511714;Pincina;15;45;56;68;5;16;0;3
SK0326511722;Ples;27;37;49;52;6;13;0;7
SK0326511749;Podrecany;51;94;133;141;25;70;1;12
SK0326511757;Polichno;15;56;24;16;1;6;1;9
SK0326511773;Praha;5;29;13;20;2;2;1;3
SK0326511781;Prsa;15;36;45;58;12;21;1;2
SK0326511790;Radzovce;159;506;370;341;81;118;4;23
SK0326511803;Rapovce;107;331;177;194;31;51;3;36
SK0326511811;Ratka;36;55;74;101;10;45;0;8
SK0326511838;Ruzina;97;279;160;161;38;72;3;25
SK0326511846;Stara Halic;78;116;179;157;26;61;1;20
SK0326511854;Savol;83;257;124;71;17;13;2;21
SK0326511862;Siatorska Bukovinka;30;66;73;63;13;39;1;4
SK0326511871;Sid;258;550;202;138;30;39;11;101
SK0326511897;Surice;38;109;139;127;27;24;0;7
SK0326511901;Tocnica;52;99;82;80;15;49;4;7
SK0326511919;Tomasovce (Okres Lucenec);112;207;297;430;77;214;1;36
SK0326511927;Trebelovce;76;219;235;220;21;74;1;21
SK0326511943;Tuhar;28;43;106;100;19;37;1;5
SK0326511994;Velka nad Iplom;126;274;183;198;43;80;3;25
SK0326512010;Velke Dravce;108;230;148;112;24;41;2;33
SK0326557307;Vidina;154;221;344;486;96;348;3;42
SK0326557315;Biskupice;127;317;182;240;46;96;5;124
SK0326557331;Gregorova Vieska;14;46;19;35;5;21;0;4
SK0326557340;Trenc;122;240;83;35;5;4;6;63
SK0326558273;Bulhary;64;159;49;34;5;4;3;2
SK0326580309;Mikusovce (Okres Lucenec);30;70;59;70;9;31;0;6
SK0327511269;Breznicka (Okres Poltar);61;127;210;219;21;83;0;4
SK0327511315;Cinobana;189;498;569;492;68;139;11;89
SK0327511340;Ceske Brezovo;33;83;128;121;27;39;1;12
SK0327511447;Hradiste (Okres Poltar);22;46;65;68;5;27;0;7
SK0327511471;Kalinovo;215;344;463;697;124;295;2;86
SK0327511498;Kokava nad Rimavicou;269;704;637;712;116;264;8;51
SK0327511501;Krna;3;7;10;17;4;13;0;0
SK0327511595;Malinec;140;389;287;356;60;131;9;24
SK0327511617;Mladzovo;12;21;27;19;1;18;2;1
SK0327511684;Ozdin;19;60;85;72;15;35;0;2
SK0327511765;Poltar;490;1006;1285;1467;259;551;18;257
SK0327511820;Rovnany;26;49;63;65;15;22;0;6
SK0327511889;Soltyska;1;29;25;19;0;5;1;6
SK0327511978;Uhorske;41;146;159;109;11;42;1;6
SK0327512001;Velka Ves;45;56;88;139;22;62;0;12
SK0327514900;Hrnciarska Ves;138;288;237;176;33;46;4;43
SK0327514918;Hrnciarske Zaluzany;77;129;191;260;35;128;0;12
SK0327515515;Selce (Okres Poltar);16;33;33;19;5;4;0;3
SK0327515591;Susany;49;70;111;111;27;44;0;6
SK0327557323;Dubakovo;2;14;23;19;3;13;0;5
SK0327580317;Utekac;54;212;226;250;35;61;3;37
SK0327582051;Zlatno (Okres Poltar);53;151;121;67;11;17;5;30
SK0328514675;Drzkovce;97;273;90;58;18;35;1;19
SK0328514721;Gemer;105;291;257;164;31;43;2;6
SK0328514756;Gemerska Ves;178;464;176;111;24;24;4;20
SK0328514896;Hrlica;6;12;29;6;1;2;0;0
SK0328514977;Chvalova;45;73;33;25;8;10;0;0
SK0328515159;Levkuska;27;87;70;35;5;8;2;5
SK0328515256;Otrocok;53;119;96;46;9;8;1;0
SK0328515302;Ploske (Okres Revuca);9;28;18;7;5;0;3;1
SK0328515311;Polina;9;29;23;21;2;3;1;1
SK0328515361;Rasice;11;25;40;30;2;8;0;1
SK0328515370;Ratkova;131;252;116;51;15;18;6;33
SK0328515400;Ratkovske Bystre;19;79;99;63;10;27;1;6
SK0328515507;Rybnik (Okres Revuca);25;73;35;13;2;6;0;4
SK0328515523;Skeresovo;31;79;43;38;5;15;1;4
SK0328515574;Levare;4;24;23;22;4;1;0;2
SK0328515612;Tornala;692;1565;1442;1712;407;795;14;344
SK0328515761;Visnove (Okres Revuca);2;24;11;13;3;6;0;0
SK0328515833;Ziar (Okres Revuca);7;42;35;22;2;3;0;0
SK0328525677;Gemerske Teplice;39;105;91;68;13;26;1;22
SK0328525685;Gemersky Sad;39;105;65;45;4;33;0;8
SK0328525766;Hucin;151;488;126;89;22;33;3;27
SK0328525774;Chyzne;36;93;103;97;15;44;2;12
SK0328525791;Jelsava;496;1089;638;470;71;124;19;302
SK0328525812;Kamenany;149;442;137;61;13;12;3;25
SK0328525901;Licince;169;421;106;54;7;23;6;9
SK0328525928;Lubenik;125;366;323;260;37;70;23;53
SK0328525944;Magnezitovce;55;176;101;80;9;24;4;6
SK0328525987;Muran;178;388;231;211;53;145;4;26
SK0328525995;Muranska Dlha Luka;134;343;136;137;33;87;12;36
SK0328526002;Muranska Huta;13;28;55;48;5;24;0;5
SK0328526011;Muranska Lehota;14;33;64;57;11;19;0;1
SK0328526029;Muranska Zdychava;28;80;56;44;13;6;0;1
SK0328526037;Nandraz;60;123;44;24;6;6;2;9
SK0328526100;Prihradzany;3;21;19;20;2;6;0;2
SK0328526118;Rakos (Okres Revuca);57;132;112;80;12;9;3;4
SK0328526142;Revuca;1044;1979;2316;2998;554;1868;32;693
SK0328526151;Revucka Lehota;30;30;50;101;21;74;1;3
SK0328526258;Sirk;298;532;213;162;30;28;17;34
SK0328526304;Sivetice;58;185;72;24;3;11;2;5
SK0328526321;Turcok;64;99;63;33;7;9;4;8
SK0328557820;Sasa (Okres Revuca);57;105;11;2;4;1;2;4
SK0328580384;Mokra Luka;57;84;90;142;23;115;0;29
SK0329514462;Rimavska Sobota;2117;3834;3316;6179;1244;3714;40;1604
SK0329514489;Babinec;4;12;10;29;0;4;0;1
SK0329514501;Barca;149;347;74;9;7;4;0;6
SK0329514519;Batka;88;240;200;204;38;60;3;16
SK0329514535;Belin;32;69;31;36;3;4;0;4
SK0329514543;Blhovce;112;255;199;129;32;36;1;16
SK0329514551;Bottovo;19;39;45;67;10;10;1;6
SK0329514586;Budikovany;11;18;8;15;1;5;1;3
SK0329514594;Cakov;80;181;45;20;3;2;3;23
SK0329514608;Cerencany;42;78;93;165;28;119;1;22
SK0329514616;Cierny Potok;10;23;45;37;6;20;0;0
SK0329514624;Ciz;83;223;141;126;32;60;2;19
SK0329514632;Dolne Zahorany;15;40;53;49;6;19;0;6
SK0329514641;Drazice;43;108;51;29;3;7;0;13
SK0329514659;Driencany;16;62;31;72;13;22;0;4
SK0329514667;Drna;35;98;39;27;4;3;1;8
SK0329514683;Dubno;14;44;33;31;4;17;1;6
SK0329514691;Dubovec;60;178;111;84;19;24;2;28
SK0329514713;Figa;70;189;93;59;6;6;2;17
SK0329514730;Gemercek;14;23;20;27;6;5;1;0
SK0329514764;Gemerske Dechtare;47;126;117;66;21;23;1;10
SK0329514781;Gemersky Jablonec;91;189;192;157;24;55;2;9
SK0329514799;Gortva;66;226;85;46;11;10;1;33
SK0329514811;Hajnacka;120;356;259;276;45;59;4;20
SK0329514829;Hnusta;761;1476;1344;1660;291;667;21;542
SK0329514837;Hodejov;248;746;232;168;38;39;18;45
SK0329514845;Hodejovec;12;47;57;30;8;13;0;5
SK0329514853;Horne Zahorany;10;23;27;28;6;18;0;1
SK0329514861;Hostice;214;514;162;97;14;25;8;16
SK0329514870;Hostisovce;37;141;28;10;2;5;3;3
SK0329514888;Hrachovo;81;128;171;264;43;98;2;12
SK0329514926;Hrusovo;9;39;57;46;8;11;0;2
SK0329514934;Hubovo;14;37;27;20;12;16;1;1
SK0329514942;Husina;88;226;100;77;7;19;3;16
SK0329514951;Chanava;76;265;174;120;27;38;3;6
SK0329514969;Chramec;91;230;65;40;7;10;7;8
SK0329514985;Ivanice;75;99;39;27;8;9;3;17
SK0329514993;Janice;94;148;22;18;2;7;0;5
SK0329515001;Jesenske (Okres Rimavska Sobota);287;670;442;437;95;199;7;198
SK0329515019;Jestice;15;53;38;26;5;9;0;1
SK0329515027;Kalosa;188;427;86;48;10;13;8;38
SK0329515035;Kesovce;64;179;19;4;0;0;1;4
SK0329515043;Klenovec;332;943;577;711;118;269;10;66
SK0329515051;Kociha;21;52;70;45;7;8;1;1
SK0329515060;Konradovce;50;123;71;54;8;3;5;9
SK0329515078;Kral;118;359;228;148;28;40;3;8
SK0329515086;Kraskovo;18;41;35;28;5;4;0;2
SK0329515094;Krokava;0;5;8;7;1;1;0;1
SK0329515108;Kruzno;30;64;85;103;20;38;0;7
SK0329515116;Kyjatice;3;15;20;14;2;6;0;5
SK0329515124;Lehota nad Rimavicou;20;38;78;83;8;34;3;13
SK0329515132;Lenartovce;89;252;102;61;15;17;1;5
SK0329515141;Lenka;20;30;52;65;17;16;0;0
SK0329515167;Lipovec (Okres Rimavska Sobota);28;47;5;3;1;3;1;2
SK0329515175;Lukovistia;5;35;39;47;12;21;0;4
SK0329515183;Martinova;35;93;51;29;3;1;3;8
SK0329515205;Neporadza (Okres Rimavska Sobota);36;129;66;31;2;3;14;5
SK0329515230;Nova Basta;43;158;116;92;19;38;7;10
SK0329515248;Oravka;18;35;30;53;6;14;0;5
SK0329515264;Ozdany;216;344;395;385;72;151;4;57
SK0329515272;Padarovce;17;63;17;35;4;9;2;2
SK0329515281;Pavlovce (Okres Rimavska Sobota);83;183;94;31;4;5;2;4
SK0329515299;Petrovce (Okres Rimavska Sobota);15;44;50;58;16;18;0;7
SK0329515337;Poproc (Okres Rimavska Sobota);0;6;10;4;2;1;0;0
SK0329515345;Potok (Okres Rimavska Sobota);3;6;4;5;0;3;0;0
SK0329515353;Radnovce;212;628;98;27;5;3;11;6
SK0329515388;Ratkovska Lehota;3;9;10;11;5;7;0;0
SK0329515396;Ratkovska Sucha;4;8;7;14;2;5;0;2
SK0329515426;Rimavska Bana;80;132;130;107;23;40;1;15
SK0329515442;Rimavska Sec;492;1122;212;173;35;81;9;24
SK0329515451;Rimavske Brezovo;53;125;128;126;24;34;1;13
SK0329515469;Rimavske Janovce;147;419;363;252;52;120;3;17
SK0329515485;Rovne (Okres Rimavska Sobota);19;32;26;24;2;8;1;6
SK0329515493;Rumince;38;114;94;77;15;20;1;7
SK0329515531;Slizke;63;147;19;10;0;3;0;0
SK0329515540;Stara Basta;25;68;100;61;17;32;1;4
SK0329515566;Stranska;34;123;92;58;9;13;3;9
SK0329515582;Studena;34;117;61;43;5;10;2;1
SK0329515604;Sutor;170;441;19;9;2;0;4;4
SK0329515621;Simonovce;91;227;104;86;13;20;2;3
SK0329515639;Sirkovce;174;387;164;130;25;32;6;39
SK0329515647;Spanie Pole;9;34;18;8;2;4;1;0
SK0329515655;Strkovec;61;95;82;89;15;30;0;8
SK0329515663;Tachty;65;177;119;110;30;35;2;10
SK0329515671;Teply Vrch;34;54;43;86;14;56;2;3
SK0329515680;Tisovec;333;718;795;1138;149;400;17;170
SK0329515698;Tomasovce (Okres Rimavska Sobota);29;81;49;31;5;7;1;2
SK0329515701;Uzovska Panica;206;375;81;69;14;28;4;39
SK0329515710;Vcelince;105;207;173;154;34;57;4;55
SK0329515728;Vecelkov;13;64;57;60;15;18;1;3
SK0329515736;Velke Teriakovce;111;186;282;171;36;66;1;12
SK0329515744;Velky Blh;128;464;225;168;29;72;36;11
SK0329515752;Vieska nad Blhom;36;94;23;17;2;3;0;1
SK0329515779;Vlkyna;93;192;54;33;5;10;0;2
SK0329515795;Valice;63;139;54;46;4;6;1;6
SK0329515809;Vysny Skalnik;13;26;23;42;7;25;0;0
SK0329515817;Zador;24;44;24;20;4;8;0;11
SK0329515841;Zip;88;125;39;15;5;4;1;4
SK0329557757;Abovce;76;223;172;102;25;20;2;7
SK0329557765;Riecka (Okres Rimavska Sobota);25;67;61;32;9;12;1;11
SK0329557790;Nizny Skalnik;20;31;43;67;5;23;1;3
SK0329557811;Rimavske Zaluzany;45;51;82;104;22;33;1;12
SK0329557854;Rakytnik;90;114;39;27;8;11;27;13
SK0329557889;Gemerske Michalovce;7;20;28;21;5;6;0;1
SK0329557901;Vysne Valice;35;84;62;43;4;11;1;19
SK0329557919;Dulovo;74;145;14;5;0;1;13;2
SK0329557927;Zacharovce;44;138;102;72;9;14;4;7
SK032A515850;Velky Krtis;966;1770;2174;2984;543;1681;41;869
SK032A515868;Balog nad Iplom;53;136;192;228;44;117;4;7
SK032A515876;Batorova;31;80;107;96;12;21;0;6
SK032A515884;Brusnik;13;38;36;18;6;3;0;0
SK032A515892;Busince;163;389;410;282;52;75;5;28
SK032A515906;Cebovce;90;171;267;311;67;124;2;12
SK032A515914;Celare;52;148;134;86;19;15;6;20
SK032A515922;Celovce (Okres Velky Krtis);72;183;91;48;7;16;6;8
SK032A515931;Cervenany;6;7;7;8;1;1;2;2
SK032A515949;Dacov Lom;45;98;94;92;19;37;1;15
SK032A515957;Dolinka;37;86;129;147;19;44;5;3
SK032A515965;Dolna Strehova;111;162;273;273;32;143;4;15
SK032A515973;Dolne Plachtince;69;106;115;166;23;81;1;42
SK032A515981;Dolne Strhare;27;59;43;34;13;13;0;9
SK032A515990;Durkovce;14;37;44;20;8;0;0;3
SK032A516007;Glabusovce;12;33;29;20;7;9;1;2
SK032A516015;Horna Strehova;20;20;40;52;3;15;2;1
SK032A516023;Horne Plachtince;24;42;48;63;9;22;1;1
SK032A516031;Horne Strhare;23;82;75;50;9;11;0;4
SK032A516040;Hrusov (Okres Velky Krtis);88;275;194;142;28;72;3;22
SK032A516058;Chrastince;23;67;54;31;6;15;0;12
SK032A516066;Chrtany;11;38;30;20;2;5;1;0
SK032A516074;Ipelske Predmostie;56;145;148;139;30;45;1;14
SK032A516082;Kamenne Kosihy;22;65;110;109;16;26;0;3
SK032A516091;Kiarov;20;65;90;62;11;25;0;0
SK032A516104;Klenany;21;56;75;58;45;11;0;12
SK032A516112;Kolare;8;56;93;55;11;14;1;5
SK032A516121;Kosihovce;64;191;116;129;23;33;1;2
SK032A516139;Kosihy nad Iplom;25;90;122;95;23;37;0;13
SK032A516147;Kovacovce;25;70;93;84;14;21;2;9
SK032A516155;Lesenice;36;115;137;122;16;47;4;10
SK032A516163;Luboriecka;11;33;47;29;6;15;0;3
SK032A516171;Mala Calomija;13;36;54;55;8;22;0;5
SK032A516198;Male Zlievce;28;70;72;86;11;24;0;3
SK032A516210;Modry Kamen;180;362;341;408;49;227;4;49
SK032A516228;Mula;87;174;58;20;1;7;1;11
SK032A516236;Nenince;107;256;376;347;79;122;2;29
SK032A516244;Nova Ves;50;126;112;83;26;30;3;11
SK032A516252;Obeckov;35;116;128;94;14;40;3;14
SK032A516261;Olovary;8;57;74;78;12;29;0;2
SK032A516279;Opatovska Nova Ves;63;133;171;161;32;49;2;26
SK032A516287;Opava;12;31;23;21;11;6;0;6
SK032A516295;Potor;62;188;254;174;26;48;1;6
SK032A516309;Pravica;12;67;25;5;6;3;0;0
SK032A516317;Pribelce;50;104;132;134;27;103;3;5
SK032A516333;Secianky;26;86;106;65;19;24;2;7
SK032A516341;Selany;9;36;54;42;7;12;0;2
SK032A516368;Senne (Okres Velky Krtis);13;45;56;59;4;11;0;2
SK032A516376;Sklabina;113;249;217;201;27;81;3;40
SK032A516384;Slovenske Darmoty;55;113;145;112;19;28;5;43
SK032A516392;Slovenske Klacany;22;44;48;38;5;12;1;0
SK032A516406;Stredne Plachtince;56;168;149;142;22;52;4;9
SK032A516414;Suchan;41;95;65;46;7;8;1;1
SK032A516422;Suche Brezovo;8;20;26;28;4;6;0;2
SK032A516431;Sirakov;8;50;61;49;7;14;0;1
SK032A516449;Sula;12;26;20;11;0;2;3;0
SK032A516457;Trebusovce;5;35;47;52;14;14;0;2
SK032A516465;Velka Calomija;56;96;153;142;39;69;1;12
SK032A516473;Velka Ves nad Iplom;42;89;108;108;15;35;0;8
SK032A516490;Velke Zlievce;67;197;115;75;10;24;6;4
SK032A516503;Velky Lom;8;48;28;32;8;8;0;6
SK032A516511;Vieska (Okres Velky Krtis);18;70;40;37;10;20;1;1
SK032A516520;Vinica;175;264;490;501;81;228;2;53
SK032A516538;Vrbovka;17;67;99;87;17;37;1;4
SK032A516546;Zahorce;65;96;220;168;31;77;1;11
SK032A516554;Zavada (Okres Velky Krtis);43;68;91;132;29;49;1;27
SK032A516562;Zombor;26;70;19;18;2;7;2;4
SK032A516571;Zelovce;103;225;345;343;60;116;0;14
SK032A558192;Maly Krtis;43;96;115;136;25;68;0;7
SK032A558206;Male Straciny;18;43;32;39;5;11;0;3
SK032A558214;Velke Straciny;17;54;27;39;10;20;0;1
SK032B518158;Zvolen;3863;5173;5928;11576;1935;9989;64;2109
SK032B518166;Babina;55;84;124;153;23;77;2;11
SK032B518174;Bacurov;14;21;29;50;6;36;1;1
SK032B518191;Breziny;36;112;87;84;10;28;1;13
SK032B518204;Budca;149;224;271;333;50;283;6;24
SK032B518221;Bzovska Lehotka;22;17;30;37;7;15;0;4
SK032B518298;Dobra Niva;191;261;396;557;97;330;4;26
SK032B518361;Dubove (Okres Zvolen);39;54;67;92;9;50;0;9
SK032B518476;Hronska Breznica;25;53;74;69;11;16;1;9
SK032B518506;Kovacova (Okres Zvolen);147;168;233;452;96;417;4;35
SK032B518581;Lest (vojensky obvod);2;5;10;9;0;0;0;5
SK032B518654;Michalkova;3;9;12;6;1;5;0;1
SK032B518662;Ocova;258;401;513;751;106;454;6;45
SK032B518671;Ostra Luka;32;54;59;75;18;58;0;9
SK032B518689;Pliesovce;222;362;483;648;103;389;1;52
SK032B518697;Podzamcok;65;89;94;152;26;112;0;4
SK032B518727;Sasa (Okres Zvolen);77;165;206;253;30;129;3;24
SK032B518760;Sielnica;168;351;308;342;42;168;1;18
SK032B518808;Sliac;478;558;615;1453;254;1438;6;92
SK032B518875;Trnie;47;59;76;101;20;89;2;9
SK032B518891;Turova;51;57;86;139;22;90;0;1
SK032B518972;Zvolenska Slatina;315;508;468;833;106;493;6;73
SK032B518981;Zelezna Breznica;64;79;124;165;27;89;0;6
SK032B558087;Lukavica (Okres Zvolen);47;28;34;65;9;70;1;7
SK032B558133;Lieskovec (Okres Zvolen);152;250;251;373;65;292;5;21
SK032B581585;Velka Luka;127;137;120;204;27;192;2;19
SK032C516759;Hodrusa-Hamre;204;386;465;601;92;234;5;89
SK032C516805;Horne Hamre;68;102;138;186;40;100;1;23
SK032C516813;Hrabicov;62;106;128;163;39;60;2;8
SK032C516830;Hronsky Benadik;81;173;321;314;66;148;2;17
SK032C516902;Klak;3;27;64;62;8;14;0;2
SK032C517062;Mala Lehota;61;194;258;188;31;59;2;21
SK032C517097;Nova Bana;730;925;1271;1941;411;1495;21;213
SK032C517119;Ostry Grun;68;102;133;135;22;59;1;19
SK032C517127;Pila (Okres Zarnovica);22;54;30;10;3;4;0;2
SK032C517232;Rudno nad Hronom;65;84;131;140;32;59;1;26
SK032C517291;Tekovska Breznica;122;164;316;356;54;180;1;20
SK032C517330;Velka Lehota;85;191;312;271;49;129;4;28
SK032C517348;Velke Pole;30;129;142;70;16;18;10;6
SK032C517356;Voznica;56;119;137;209;23;77;1;11
SK032C517381;Zarnovica;551;976;1203;1640;315;863;11;271
SK032C517399;Zupkov;99;174;191;214;46;95;1;56
SK032C580546;Orovnica;45;98;158;156;26;56;2;2
SK032C581607;Brehy;93;161;295;300;43;115;3;20
SK032D516589;Ziar nad Hronom;1716;2531;3282;4839;884;2951;49;1326
SK032D516660;Bartosova Lehotka;33;51;98;93;27;39;0;13
SK032D516708;Bzenica;59;93;174;167;28;80;2;11
SK032D516724;Dolna Trnavka;37;35;67;103;29;55;0;6
